Slow,Fast,Diff=Fast-Slow
-192.22,-254.54,-62.32
-202.76,-292.74,-89.98
-165.55,-238.03,-72.48
-130.49,-242.02,-111.53
-98.41,-155.32,-56.91
-173.93,-108.81,65.12
-132.06,-253.69,-121.63
-129.18,-186.66,-57.48
-190.07,-177.84,12.23
-11.886,-12.752,-0.866
-8.8123,-9.364,-0.5517
-13.917,-13.591,0.326
-9.7605,-15.802,-6.0415
-6.7053,-11.06,-4.3547
-6.3844,-11.404,-5.0196
-13.732,-20.16,-6.428
-11.978,-17.296,-5.318
-14.508,-21.474,-6.966
-18.047,-19.421,-1.374
-9.1485,-10.273,-1.1245
-13.096,-13.509,-0.413
-10.357,-18.78,-8.423
-8.3,-13.815,-5.515
-12.564,-21.312,-8.748
-11.525,-19.34,-7.815
-11.164,-17.094,-5.93
-13.593,-21.701,-8.108
